run_accession,fastq_ftp,fastq_bytes,fastq_md5,submitted_ftp,submitted_bytes,submitted_md5,sra_ftp,sra_bytes,sra_md5
ERR022863,ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022863/ERR022863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022863/ERR022863_2.fastq.gz,151702366;140695199,d51e1bd41314f1255b42c496233777fa;5e4e2c5c67e739ee1dec66f725bfbbcf,ftp.sra.ebi.ac.uk/vol1/run/ERR022/ERR022863/5256_3_nonhuman.srf,2205618903,e5bb017cd628c419b9c80250d40ed560,ftp.sra.ebi.ac.uk/vol1/err/ERR022/ERR022863/col/QUALITY/idx1,132,65d6151878c0490113edac303414794a
ERR022864,ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022864/ERR022864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022864/ERR022864_2.fastq.gz,419477602;379105688,baea0943e9db15e68ecfa86db26ab9c9;10b0de307e579657dd94d8242ce1ea5a,ftp.sra.ebi.ac.uk/vol1/run/ERR022/ERR022864/5256_5_nonhuman.srf,5490318739,3d2adbfd03a4a2461f0240c1d6e0b2cc,ftp.sra.ebi.ac.uk/vol1/err/ERR022/ERR022864/col/RD_FILTER/md/cur,379,072f4a40e537ea14e953876d65fe0826
ERR022865,ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022865/ERR022865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022865/ERR022865_2.fastq.gz,256968137;270491493,1a382d33b9199db7cab632a33455511a;528b9b2400995875acff96b956c1d470,ftp.sra.ebi.ac.uk/vol1/run/ERR022/ERR022865/5256_6_nonhuman.srf,3859000701,61c9b6491c652da1d319733098845c63,ftp.sra.ebi.ac.uk/vol1/err/ERR022/ERR022865/idx/skey.md5,39,603466e085bcffe29f9cc463a09482f5
ERR022866,ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022866/ERR022866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022866/ERR022866_2.fastq.gz,354733213;310515793,b142c103cbe1283aeeef703f69c835b6;f7528a54425d2daf32b0bd6b795e97dd,ftp.sra.ebi.ac.uk/vol1/run/ERR022/ERR022866/5256_7_nonhuman.srf,4598693538,ef15ab3ed31b14e1ac618267f182f643,ftp.sra.ebi.ac.uk/vol1/err/ERR022/ERR022866/col/Y/idx,40,d1f2021e6997b0e344eb33425f412e9d
ERR022867,ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022867/ERR022867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR022/ERR022867/ERR022867_2.fastq.gz,135884366;136558905,31f97e1d3509b8713496f49338ff50a3;8ca17f600a367ad37cf0b2aa95b2c26c,ftp.sra.ebi.ac.uk/vol1/run/ERR022/ERR022867/5256_8_nonhuman.srf,2084596173,0b71cefcafb38f6906ada50eb71e46e7,ftp.sra.ebi.ac.uk/vol1/err/ERR022/ERR022867/col/X/data,3680436,b0a1b5a91e0a18e7d4c8f037e21043d8
ERR023039,ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023039/ERR023039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023039/ERR023039_2.fastq.gz,2622853150;2359380269,36cd7a30c5417aed290d71755a5fb6e5;962d5b2e6d6d8c38e7e43d6aa5cebb5b,ftp.sra.ebi.ac.uk/vol1/run/ERR023/ERR023039/5341_1_nonhuman.srf,34487274192,7d1709f42f009d38789eecf55a50ab06,ftp.sra.ebi.ac.uk/vol1/err/ERR023/ERR023039/col/READ/idx2,1076,69a7d26dee18dc5adf6b37a60c64e692
ERR023040,ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023040/ERR023040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023040/ERR023040_2.fastq.gz,1613398605;1452014688,c04a878b6a0f8e1ac9420fc117071ce9;3431feec1eea275f0e5fd0b92ba76ce9,ftp.sra.ebi.ac.uk/vol1/run/ERR023/ERR023040/5341_2_nonhuman.srf,21801747331,c106b74fb8bfe770685c88aed2fa344f,ftp.sra.ebi.ac.uk/vol1/err/ERR023/ERR023040/md/cur,604,bd2d78fa84a0522c752f265a36e1cb32
ERR023041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023041/ERR023041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023041/ERR023041_2.fastq.gz,1251850220;1142391096,4d58fea59c2a6bf3f8732b1595b9df61;fc41bca5af78bb91843981523d3facac,ftp.sra.ebi.ac.uk/vol1/run/ERR023/ERR023041/5341_3_nonhuman.srf,16996110741,70746f3291cc8a4ef273f7da9de17839,ftp.sra.ebi.ac.uk/vol1/err/ERR023/ERR023041/col/X/md5,235,c818cd37e5e8ee7453bca1639d65a6cb
ERR023042,ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023042/ERR023042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023042/ERR023042_2.fastq.gz,2976847857;2691922874,fa0c3e29c19e4a59daf3ee0d1be3fcf5;ced390b95a91d08545d2e54f0dfb33aa,ftp.sra.ebi.ac.uk/vol1/run/ERR023/ERR023042/5341_5_nonhuman.srf,37965829703,94e8175e34fad3ec19de070b38256e52,ftp.sra.ebi.ac.uk/vol1/err/ERR023/ERR023042/col/QUALITY/idx0,0,d41d8cd98f00b204e9800998ecf8427e
ERR023043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023043/ERR023043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR023/ERR023043/ERR023043_2.fastq.gz,1858209189;1677414672,46101f16516573969b1fc99ed977af40;676cd25ec444dfa78980442a981eea63,ftp.sra.ebi.ac.uk/vol1/run/ERR023/ERR023043/5341_6_nonhuman.srf,25257693503,3ff238d30c7434bd74807a8652502a5c,ftp.sra.ebi.ac.uk/vol1/err/ERR023/ERR023043/col/READ/data,972444912,46002a2a7fcdd49b83fce364866b60c3
